sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
1,47.8,Anayasa,2,2803,2013,,2016-01-21,gebe+illiyet,gebe×126 | travma×32 | illiyet×9 | TCK 87/88 | cenin/düşük | obstetrik komp.,ANAYASA MAHKEMESİNİN 21/01/2016TARİHLİ VE 2013/2803 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS. m. 2, 3)(2709 S. K. &nbsp;m. 17, 36) (5237 S. K. m. 81, 82, 85, 86, 87) (4721 S. K .m. 8, 427, 582, 643) (2827 S. K. m. 2, 5) (4483 S. K. m. 3, 5) (6098 S. K. m. 49, 74) (6216 S. K. m. 46) &nbsp; *** İncelemekte olduğunuz karar Resmi Gazete&rsquo;de yayımlanmamış olup kararlar bilgibankasi.an"
2,47.8,A.İ.H.M.,2,13423,2009,,2013-04-09,hamile+düşük,gebe×64 | travma×12 | illiyet×9 | TCK 87/88 | cenin/düşük | obstetrik komp.,MEHMET ŞENTÜRK VE BEKİR ŞENTÜRK - TÜRKİYE DAVASI,"(AİHS. m. 2, 3, 6, 13, 35, 41, 42, 44) (2709 S. K. m. 17) (765 S. K. m. 230, 455) (5271 S. K. m. 314, 322) (SEVİM GÜNGÖR - TÜRKİYE DAVASI) (OYAL - TÜRKİYE DAVASI) (CALVELLİ VE CİGLİO - İTALYA DAVASI) (ÖNERYILDIZ - TÜRKİYE DAVASI) (KIBRIS - TÜRKİYE DAVASI) (Başvuru no: 13423/09) KARAR STRAZBURG 9 Nis"
3,45,Yargıtay,3,4383,2021,2717,2023-05-09,hamile+düşük,gebe×10 | travma×190 | illiyet×161 | TCK 87/88 | cenin/düşük | aile içi,YARGITAY KARARI,İNCELENEN KARARIN MAHKEMESİ: ...Bölge Adliye Mahkemesi 3. Ceza Dairesi SUÇ TARİHLERİ:1-)Türkiye Cumhuriyeti Hükûmetini Ortadan Kaldırmaya veya Görevini Yapmasını Engellemeye Teşebbüs Etme Suçu Yönünden: 17/12/2013 2-)Silahlı Terör Örgütü Kurma veya Yönetme Suçu Yönünden: Her bir sanık için dosyada y
4,45,Yargıtay,3,4197,2021,2716,2023-05-09,hamile+düşük,gebe×10 | travma×199 | illiyet×162 | TCK 87/88 | cenin/düşük | aile içi,YARGITAY KARARI,"İNCELENEN KARARIN MAHKEMESİ:Ceza Dairesi KATILANLAR:1-Türkiye Cumhuriyeti Hükümetine İzafeten Başbakanlık (...), 2-..., 3-..., 4-..., 5-..., 6-..., 7-..., 8- ..., 9- ..., 10-..., 11-..., 12-..., 13-..., 14-..., 15-..., 16-..., 17-..., 18-..., 19-... SUÇLAR:Türkiye Cumhuriyeti Hükümetini Ortadan Kald"
5,44.6,Yargıtay,CG,269,2014,108,2017-02-28,gebe+travma,gebe×16 | travma×146 | illiyet×8 | TCK 87/88 | cenin/düşük | künt/batın,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 8. Ceza Dairesi Mahkemesi:Ağır Ceza Günü: 01.10.2012 Sayısı: 501-268 Sanık ... hakkında katılan ....'a yönelik eziyet suçundan açılan kamu davasında yapılan yargılama neticesinde sanığın eyleminin işkence suçunu oluşturduğunun kabulü ile TCK'nun 94/1, 62 ve 53/1. madde"
6,44,Yargıtay,3,6496,2021,9381,2024-07-17,gebe+travma,gebe×27 | travma×590 | illiyet×127 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Ankara Bölge Adliye Mahkemesi 21. Ceza Dairesi SAYISI: 2020/1 E. - 2020/746 K. İLK DERECE MAHKEMESİ:Ankara 17. Ağır Ceza Mahkemesinin 20.06.2019 tarih ve 2017/109 E. - 2019/30 K. sayılı kararı MAKTULLER: M.. G.., B.. İ.., C.. P.., M.. T.., M.. S.., S.. K.., V.. T.., Ş.. D.., M.. Ş.., M.. "
7,44,Yargıtay,CG,656,2019,324,2021-06-30,hamile+düşük,gebe×16 | travma×148 | illiyet×130 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: Ceza Genel Kurulu Mahkemesi:Ceza Dairesi Sanık ...'ın; Hükümete karşı suçtan 52371 sayılı CMK'nın 223/2-a uyarınca beraatine, Devletin güvenliğine ilişkin belgeleri temin etme suçundan 5237 sayılı TCK'nın 327/1. maddesi uyarınca 5 yıl hapis, Devletin güvenliğine ve siy"
8,43.5,Yargıtay,CG,69,2016,714,2019-12-24,gebe+illiyet,gebe×9 | travma×22 | illiyet×27 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: 12. Ceza Dairesi Mahkemesi:Asliye Ceza Sayısı: 448-30 Sanık ... hakkında taksirle birden fazla kişinin yaralanmasına neden olma suçundan yapılan yargılama sonucunda, 5237 sayılı TCK’nın 66/1-e maddesi uyarınca zamanaşımı nedeniyle kamu davasının düşmesine ilişkin Ödemi"
9,42,Anayasa,GK,22169,2016,,2017-06-20,gebe+travma,gebe×4 | travma×41 | illiyet×27 | TCK 87/88 | cenin/düşük | aile içi,ANAYASA MAHKEMESİNİN 20/6/2017 TARİHLİ VE 2016/22169 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(AİHS m. 2, 3, 4, 5, 7, 15) (İnsan Hakları Evrensel Beyannamesi m. 9) (Medeni ve Siyasi Haklara İlişkin Milletlerarası Antlaşma m. 4, 9) (2709 S. K. BAŞLANGIÇ, m. 2, 5, 6, 13, 15, 19, 36, 107, 119, 120, 121, 122, 148) (491 S. K. m. 74, 78, 86) (334 S. K. m. 123, 124) (5271 S. K. m. 100, 101, 104, 10"
10,41.4,Danıştay,12,725,2013,8623,2013-11-26,hamile+düşük,gebe×6 | travma×9 | illiyet×15 | TCK 87/88 | cenin/düşük | trafik/iş kaz,İPTAL DAVASI - GEÇİCİ PERSONEL OLAN DAVACININ DÖNER SERMAYE EK ÖDEMESİNDEN YARARLANDIRILMASINA STATÜ BAĞLAMINDA HUKUKİ BİR ENGELİN BULUNMADIĞI - STATÜ DIŞINDAKİ KOŞULLARIN TAŞINMASI HALİNDE BU ÖDEMEDE,"(İnsan Hakları Evrensel Beyannamesi m. 1, 2, 7, 22, 23) (Avrupa Sosyal Şartı m. 2, 4, 16, 20) (ILO 26 Nolu Sözleşme - Asgari Ücret Tesbit Usulleri İhdasına İlişkin Sözleşme m. 3) (ILO 100 Nolu Sözleşme - Eşit Değerde İş İçin Erkek Ve Kadın İşçiler Arasında Ücret Eşitliği Hakkında Sözleşme m. 2) (ILO"
